card_id,name,set,rarity,release_date,source,variant,price,avg1,avg7,avg30,date
pl3-52,Breloom,Supreme Victors,Uncommon,2009/08/19,cardmarket,normal,0.6,0.99,0.62,0.45,2026-07-28
ex3-57,Grimer,Dragon,Common,2003/11/24,tcgplayer,normal,2.43,,,,2026-07-28
ex3-57,Grimer,Dragon,Common,2003/11/24,tcgplayer,reverseHolofoil,39.05,,,,2026-07-28
ex3-57,Grimer,Dragon,Common,2003/11/24,cardmarket,normal,0.89,0.39,0.83,0.59,2026-07-28
gym1-57,Misty's Tentacool,Gym Heroes,Uncommon,2000/08/14,tcgplayer,1stEdition,12.97,,,,2026-07-28
gym1-57,Misty's Tentacool,Gym Heroes,Uncommon,2000/08/14,tcgplayer,unlimited,2.63,,,,2026-07-28
gym1-57,Misty's Tentacool,Gym Heroes,Uncommon,2000/08/14,cardmarket,normal,1.92,0.5,1.44,2.48,2026-07-28
bw5-50,Woobat,Dark Explorers,Common,2012/05/09,tcgplayer,normal,0.32,,,,2026-07-28
bw5-50,Woobat,Dark Explorers,Common,2012/05/09,tcgplayer,reverseHolofoil,1.18,,,,2026-07-28
bw5-50,Woobat,Dark Explorers,Common,2012/05/09,cardmarket,normal,0.18,0.02,0.16,0.14,2026-07-28
neo4-57,Unown [C],Neo Destiny,Uncommon,2002/02/28,tcgplayer,1stEdition,9.87,,,,2026-07-28
neo4-57,Unown [C],Neo Destiny,Uncommon,2002/02/28,tcgplayer,unlimited,7.68,,,,2026-07-28
neo4-57,Unown [C],Neo Destiny,Uncommon,2002/02/28,cardmarket,normal,5.68,5.35,6.06,4.48,2026-07-28
swsh2-52,Arrokuda,Rebel Clash,Common,2020/05/01,tcgplayer,reverseHolofoil,0.27,,,,2026-07-28
swsh2-52,Arrokuda,Rebel Clash,Common,2020/05/01,tcgplayer,normal,0.06,,,,2026-07-28
swsh2-52,Arrokuda,Rebel Clash,Common,2020/05/01,cardmarket,normal,0.05,0.09,0.04,0.04,2026-07-28
base1-58,Pikachu,Base,Common,1999/01/09,tcgplayer,normal,7.46,,,,2026-07-28
base1-58,Pikachu,Base,Common,1999/01/09,cardmarket,normal,14.44,28.0,19.5,12.24,2026-07-28
xy11-60,Sneasel,Steam Siege,Common,2016/08/03,tcgplayer,normal,0.18,,,,2026-07-28
xy11-60,Sneasel,Steam Siege,Common,2016/08/03,tcgplayer,reverseHolofoil,0.37,,,,2026-07-28
